00001_CARD_NAME;Power Up;力量提升;
00001_CARD_TEXT;This has +{dynamic_number|life|0} {power} .\nDuration 1 turn.;此牌具有 +{dynamic_number|life|0} {power}。\n持续 1 回合。;
00002_CARD_NAME;Enraged;激怒;
00002_CARD_TEXT;The Cloaked Hunter is enraged when under half life!;斗篷猎人在生命值低于一半时会被激怒！;
00003_CARD_NAME;Grappling Hook;抓钩;
00003_CARD_TEXT;Inflict {vulnerable} and {referName|130}, then {swap} the heroes before attacking.;造成{vulnerable}和{referName|130}，然后在攻击前{swap}英雄。;
00004_CARD_NAME;Mega Claw;巨爪;
00004_CARD_TEXT;Gain {dynamic_number|life|0} {power}.;获得 {dynamic_number|life|0} 点{power}。;
00005_CARD_NAME;Scrambling Beam;扰乱光束;
00005_CARD_TEXT;Whenever the heroes play a card, discard and redraw their hand.;每当英雄们打出一张牌，就将其丢弃并重抽他们的手牌。;
00006_CARD_NAME;Cage Launcher;笼子发射器;
00006_CARD_TEXT;Reduce the leading hero's {power} by {dynamic_number|life|0}.;减少领军英雄的{power} {dynamic_number|life|0} 点。;
00007_CARD_NAME;Charged Barrier;充能障碍;
00007_CARD_TEXT;Reflect {dynamic_number|life|0} damage to attackers.;对攻击者反弹 {dynamic_number|life|0} 点伤害。;
00008_CARD_NAME;Disintegration Laser;分解激光;
00008_CARD_TEXT;Reduce the heroes <b>block</b> by {dynamic_number|life|0} before attacking.;在攻击前减少英雄的<b>格挡</b> {dynamic_number|life|0} 点。;
00009_CARD_NAME;Grim Siphon;冷酷抽取;
00009_CARD_RAGE_TEXT;Heal for 20.\n{exhaust};治疗 20 点。\n{exhaust};
00009_CARD_TEXT;Attack for {dynamic_number|power|20}.;攻击 {dynamic_number|power|20} 点。;
00010_CARD_NAME;Juggler;杂耍者;
00010_CARD_TEXT;{ally}\n{spiritless}\nWhenever Sharra swaps to the front, add a {refer|1006} to your hand.;{ally}\n{spiritless}\n每当莎拉交换到前方时，你的手牌增加一张{refer|1006}。;
00011_CARD_NAME;Rakoan Softpaw;瑞寇软爪;
00012_CARD_NAME;Ogre Tempo;食人魔节奏;
00012_CARD_TEXT;Every 3 times the heroes swap, add a {refer|214} to your hand.;每 3 次英雄交换，就增加一张{refer|214}到你的手牌。;
00013_CARD_NAME;Loyal Minion;忠诚手下;
00013_CARD_TEXT;Start each battle with a {refer|2317}.;以{refer|2317}开始每一场战斗。;
00014_CARD_NAME;Wisdom;知识;
00014_CARD_TEXT;At the start of your turn, draw a card and lose a stack of Wisdom.;在你的回合开始时，抽一张牌并失去一层知识。;
00015_CARD_NAME;Anger;愤怒;
00015_CARD_TEXT;{retain}\nA card in your hand gains {exhaust} until the end of the turn.\n{exhaust};{retain}\n你手中的一张牌获得{exhaust}，直到回合结束。\n{exhaust};
00016_CARD_NAME;Fortitude;坚毅;
00016_CARD_TEXT;At the start of your turn gain {block|4} and lose a stack of Fortitude.;在你的回合开始时获得 {block|4}，并失去一层坚毅。;
00017_CARD_NAME;Courage;勇气;
00017_CARD_TEXT;At the start of your turn Gain {faeria|1} and lose a stack of Courage.;在你的回合开始时获得 {faeria|1}，并失去一层勇气。;
00018_CARD_NAME;Time Stop;时间停止;
